customer_id,annual_income,spending_score,visits_per_month,avg_purchase_value
1,47843,36,2,5865
2,82320,13,1,1218
3,49793,12,9,1473
4,59516,37,9,3503
5,124407,74,7,732
6,149045,73,3,5364
7,37857,52,18,1135
8,39627,71,11,2546
9,81822,2,7,2562
10,104101,56,9,1197
11,111561,60,1,3932
12,72248,23,14,4867
13,75798,40,6,4115
14,113368,64,7,546
15,64116,85,10,2729
16,95318,23,7,1290
17,124186,29,2,3610
18,147119,78,4,1226
19,107902,90,17,3738
20,48557,51,1,5587
21,91334,69,10,2907
22,95163,95,19,1374
23,126719,89,15,4322
24,143099,31,10,4099
25,98002,50,19,5084
26,62614,20,12,3451
27,32720,55,16,3738
28,77608,81,9,5880
29,127449,2,15,5355
30,122828,25,17,4873
31,146613,13,14,3791
32,92095,92,18,1006
33,125924,70,2,5533
34,104694,67,4,3364
35,116452,58,18,1053
36,107593,99,7,887
37,55892,82,13,1634
38,126975,75,15,5888
39,97242,84,1,2147
40,136041,64,11,4234
41,146202,69,10,4226
42,97606,83,5,3617
43,143769,86,16,4320
44,138542,59,11,3455
45,126438,60,6,4602
46,20924,83,9,2498
47,71322,62,13,464
48,46478,16,8,2298
49,91042,88,14,3357
50,66418,68,1,2384
51,82217,15,17,4728
52,120699,89,5,702
53,110140,55,2,713
54,100846,35,9,344
55,93762,55,4,4457
56,31781,14,17,2767
57,25515,49,17,1167
58,137358,83,18,5887
59,56133,7,16,318
60,102508,30,8,664
61,117628,83,11,4132
62,96946,49,18,5536
63,105058,89,10,879
64,29095,16,13,845
65,108583,51,17,4450
66,40470,72,18,5173
67,63129,82,10,3339
68,28531,92,16,4437
69,57038,80,5,5716
70,107939,83,13,4344
71,62674,42,18,4626
72,147572,17,17,752
73,114658,63,9,4261
74,102476,45,14,5941
75,49831,77,17,1681
76,77174,7,4,1767
77,31279,27,18,5547
78,58220,10,15,3038
79,80610,34,11,1516
80,72719,36,12,1180
81,144936,25,9,4114
82,73051,6,13,3449
83,92013,24,15,384
84,76652,18,15,5449
85,85524,87,5,4444
86,102936,6,19,1468
87,26470,29,14,4464
88,87598,25,17,3429
89,61798,55,18,3945
90,144517,81,3,2826
91,73473,46,2,3167
92,39880,24,1,3816
93,120117,75,10,3667
94,64439,26,19,5994
95,140944,98,17,2494
96,34308,28,12,3855
97,111563,3,1,5411
98,116256,75,12,745
99,55081,38,17,3926
100,95242,61,3,4316
101,70383,78,11,4175
102,29837,51,17,5797
103,124135,90,3,3637
104,72151,48,8,561
105,138128,21,4,2148
106,56824,54,7,5292
107,53073,56,14,5490
108,132651,94,14,4325
109,117624,59,4,2566
110,113648,72,16,5952
111,46299,51,1,391
112,119993,20,17,4522
113,78861,96,10,4475
114,50063,86,16,3609
115,89453,59,16,1282
116,141768,71,8,3743
117,143299,9,7,5311
118,88472,1,6,2833
119,122166,29,16,993
120,34506,63,16,4420
121,114341,72,7,455
122,99854,56,9,3888
123,133604,68,14,2112
124,46026,35,11,5949
125,47672,3,14,5476
126,58417,7,7,4414
127,72413,27,1,1707
128,144044,1,13,1516
129,85066,91,3,1710
130,79213,80,4,3797
131,70971,71,11,4672
132,47281,44,2,5140
133,133978,87,14,851
134,48091,41,12,3694
135,70494,75,17,1476
136,123864,42,12,5034
137,133755,33,12,4632
138,38610,50,1,1297
139,21079,63,13,4376
140,115386,37,14,5855
141,66751,59,2,3031
142,106126,81,12,4237
143,75432,99,16,4352
144,50951,48,4,5603
145,100863,5,8,5787
146,98291,48,2,5617
147,145659,96,10,5790
148,79872,3,9,672
149,27235,47,15,5916
150,102733,62,13,2548
151,82712,99,17,1148
152,41473,14,16,2856
153,87567,63,2,5741
154,126818,61,14,2622
155,145849,31,3,803
156,127399,95,12,3489
157,144421,17,8,1002
158,99823,24,2,3925
159,124215,23,4,614
160,129999,82,14,2676
161,52230,50,16,1340
162,104573,78,19,4678
163,112588,79,2,3290
164,88876,79,12,557
165,60644,70,14,874
166,68664,27,6,4969
167,65203,15,13,5438
