area_sqft,bedrooms,bathrooms,location_score,age_of_house,price
2190,3,1,4,11,13173829
1650,3,3,5,25,14398651
3380,5,4,4,33,14359039
2188,3,3,1,22,6571867
2968,4,3,8,30,9610953
2293,2,4,1,19,14801095
1036,3,1,5,11,3918060
3428,3,1,6,22,6728087
2156,5,4,6,3,6728456
1676,4,4,5,22,7139022
1904,2,4,3,0,8296260
3373,5,3,5,24,11037333
2678,5,4,8,1,11379823
2984,4,2,2,29,8497804
782,2,3,6,2,4768693
3191,4,1,9,20,6424152
2069,2,1,8,24,10188659
2079,4,1,8,19,11796625
2189,5,3,8,21,11210506
2187,5,2,7,20,3185338
1259,1,4,8,32,6002415
759,3,4,6,37,8834625
3059,4,1,2,14,10943353
1611,1,1,2,14,4183032
652,3,3,8,24,7732651
3055,4,2,1,20,8454632
3494,2,4,6,23,4618219
1645,3,3,6,4,4648185
1653,5,4,4,5,10933864
3350,1,1,3,22,9537449
2907,3,4,3,3,11390872
1828,3,2,1,26,5846145
2094,5,2,3,17,11828303
3423,4,1,4,20,4683955
2089,2,2,5,27,12140998
1635,5,2,3,34,13104603
2550,2,3,6,21,2979809
1449,4,4,5,39,5150432
953,3,1,3,22,6675282
1698,2,1,6,2,7955483
2339,1,1,6,39,9364547
2064,1,1,8,9,14406455
1590,5,1,2,24,4267413
1864,4,2,1,7,5073697
2484,5,3,4,10,6100952
2409,5,1,7,4,4471277
2941,5,3,3,36,8046510
2856,1,3,3,37,11833348
1711,1,2,5,28,13935163
1417,5,1,5,4,10396403
2399,1,2,3,8,8597020
2560,4,1,9,1,7854342
3037,5,2,4,0,3696311
2972,1,3,3,39,2642157
1488,2,1,2,29,13175927
2455,5,4,9,10,7288109
1780,5,3,4,27,3962603
1267,4,4,3,11,12163637
1232,3,3,7,38,13909399
3224,3,2,8,25,2636645
2242,4,1,2,12,4152131
736,4,3,7,7,3686837
2546,4,2,5,27,11230829
2297,3,1,5,29,13324527
1027,4,1,3,8,12068188
2075,1,3,5,38,10345219
3259,5,1,2,30,2553687
1418,5,3,4,20,4990272
2788,2,1,6,33,9343308
1706,2,4,1,30,7673395
2824,5,2,4,24,5129137
797,1,4,6,11,14763618
3271,3,3,9,0,7276415
2595,3,4,2,21,12928268
3338,1,3,7,39,12908058
3048,3,1,6,36,12859748
1070,4,1,2,0,9708387
2865,5,3,8,0,9392180
2548,5,4,7,20,6361607
1528,1,1,5,14,14417042
2610,3,2,5,16,6624390
3279,2,1,7,21,5156222
1505,2,2,9,37,12015717
2822,3,4,9,34,6934315
622,2,2,9,15,4053744
834,1,2,6,7,6766988
1724,1,2,6,16,8193014
1528,3,2,3,16,10621485
1122,2,1,1,25,12676828
2408,1,2,7,12,14900326
1030,1,1,4,16,7959501
1392,4,2,1,37,10075327
2229,4,3,8,16,6513582
2336,1,4,6,13,5372875
1132,3,2,6,5,12718896
2346,5,3,2,34,4341646
2275,5,2,1,13,14858187
1916,1,2,2,7,8300545
3457,1,2,4,14,10470564
1512,1,3,2,26,10538508
1724,3,4,1,12,4096246
2125,4,3,7,30,12707847
1927,1,4,8,34,13139226
3187,1,2,6,5,10694253
1623,2,1,4,4,6928622
2176,3,2,6,21,4969930
1978,1,4,3,22,2631936
2119,2,3,8,24,10726036
2281,5,2,2,33,7652030
2597,1,3,5,25,12868354
826,1,3,1,4,7342256
1859,2,3,6,25,4969970
1472,3,2,2,19,7562581
1491,1,3,4,5,12185181
2078,5,3,6,5,7812470
1636,1,2,8,17,14424255
2857,5,3,8,3,5078682
3388,4,2,6,16,4004900
996,4,4,4,13,14279272
1723,5,4,8,13,12510396
